Id Cidade                       Cidade                                              Id Estado                       Sigla Estado Estado
------------------------------- --------------------------------------------------- ------------------------------- ------------ ---------------------
224;                            Guajara;                                            3;                              AM;          Amazonas;
225;                            Humaita;                                            3;                              AM;          Amazonas;
226;                            Iauarete;                                           3;                              AM;          Amazonas;
227;                            Icana;                                              3;                              AM;          Amazonas;
228;                            Ipixuna;                                            3;                              AM;          Amazonas;
229;                            Iranduba;                                           3;                              AM;          Amazonas;
230;                            Itacoatiara;                                        3;                              AM;          Amazonas;
231;                            Itamarati;                                          3;                              AM;          Amazonas;
232;                            Itapiranga;                                         3;                              AM;          Amazonas;
233;                            Japura;                                             3;                              AM;          Amazonas;
234;                            Jurua;                                              3;                              AM;          Amazonas;
235;                            Jutai;                                              3;                              AM;          Amazonas;
236;                            Labrea;                                             3;                              AM;          Amazonas;
237;                            Lago Preto;                                         3;                              AM;          Amazonas;
238;                            Manacapuru;                                         3;                              AM;          Amazonas;
239;                            Manaquiri;                                          3;                              AM;          Amazonas;
240;                            Manaus;                                             3;                              AM;          Amazonas;
241;                            Manicore;                                           3;                              AM;          Amazonas;
242;                            Maraa;                                              3;                              AM;          Amazonas;
243;                            Massauari;                                          3;                              AM;          Amazonas;
244;                            Maues;                                              3;                              AM;          Amazonas;
245;                            Mocambo;                                            3;                              AM;          Amazonas;
246;                            Moura;                                              3;                              AM;          Amazonas;
247;                            Murutinga;                                          3;                              AM;          Amazonas;
248;                            Nhamunda;                                           3;                              AM;          Amazonas;
249;                            Nova Olinda do Norte;                               3;                              AM;          Amazonas;
250;                            Novo Airao;                                         3;                              AM;          Amazonas;
251;                            Novo Aripuana;                                      3;                              AM;          Amazonas;
252;                            Osorio da Fonseca;                                  3;                              AM;          Amazonas;
253;                            Parintins;                                          3;                              AM;          Amazonas;
254;                            Pauini;                                             3;                              AM;          Amazonas;
255;                            Pedras;                                             3;                              AM;          Amazonas;
256;                            Presidente Figueiredo;                              3;                              AM;          Amazonas;
257;                            Repartimento;                                       3;                              AM;          Amazonas;
258;                            Rio Preto da Eva;                                   3;                              AM;          Amazonas;
259;                            Santa Isabel do Rio Negro;                          3;                              AM;          Amazonas;
260;                            Santa Rita;                                         3;                              AM;          Amazonas;
261;                            Santo Antonio do Ica;                               3;                              AM;          Amazonas;
262;                            Sao Felipe;                                         3;                              AM;          Amazonas;
263;                            Sao Gabriel da Cachoeira;                           3;                              AM;          Amazonas;
